internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12302,Lontra canadensis,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Lontra,canadensis,,,,,"(Schreber, 1777)","The scientific name North American river otter was formerly <em>Lutra canadensis.&#160; </em>Although <em>Lutra</em> may still occasionally be used in some common literature, <em>Lontra</em> is now the accepted genus name for the species (Van Zyll de Jong 1972, 1987; Kellnhauser 1983, Wozencraft 2005)</span>."
7750,Enhydra lutris,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Enhydra,lutris,,,,,"(Linnaeus, 1758)","Three regional subspecies originally described by Wilson <em>et al</em>. (1991) have been confirmed by Cronin <em>et al.</em> (1996): <em>E. l. lutris</em> (Linnaeus, 1758) from Japan in the southwest Pacific throughout the Asian range of the Kuril Islands to the Kamchatka Peninsula and the Commander Islands, <em>E. l. kenyoni</em> from the western Aleutian Islands to Prince William Sound, Alaska, USA, along the Pacific coast of Canada and into Oregon state in the continental USA, and <em>E. l. nereis</em> (Merriam, 1904) from central to southern California, USA."
17598,Corynorhinus townsendii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Corynorhinus,townsendii,,,,,"Cooper, 1837",
8166,Euderma maculatum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Euderma,maculatum,,,,,"(J.A. Allen, 1891)",
136784,Myotis melanorhinus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,melanorhinus,,,,,"Merriam, 1890","Included in <i>leibii</i> or <i>ciliolabrum</i> by various authors, but see van Zyll de Jong (1985). Reviewed by Holloway and Barclay (2001), who treated it as a subspecies of <i>ciliolabrum</i>."
14171,Myotis keenii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,keenii,,,,,"(Merriam, 1895)","<i>Myotis septentrionalis</i> formerly was included in this species. Koopman (1993) included <i>septentrionalis</i> in <i>M. keenii</i>, but van Zyll de Jong (1985), and Simmons (2005) recognized <i>M. keenii</i> and <i>M. septentrionalis</i> as distinct species. Most literature references to <i>M. keenii</i> actually pertain to <i>Myotis septentrionalis</i>. A recent molecular study using mtDNA (cytochrome b gene) (Tanya Dewey, unpublished data) supports the close relationship of <i>M. keenii </i>and <i>M. evotis</i> and their distant relationship to <i>M. septentrionalis</i>. In fact, the molecular phylogeny suggests that <i>M. keenii</i> and <i>M. evotis</i> are conspecific. However, until further studies are completed and published, we here maintain <i>M. keenii</i> and <i>M. evotis</i> as different species."
14172,Myotis leibii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,leibii,,,,,"(Audubon &amp; Bachman, 1842)","Formerly, <i>M. ciliolabrum</i> was included as a subspecies of <i>M. leibii</i> (or <i>M. subulatus</i>). Based chiefly on cranial measurements, van Zyll de Jong (1985) recognized western populations of what had been known as <i>M. subulatus</i> as a species (<i>M. ciliolabrum</i>) distinct from eastern populations, for which the appropriate name is <i>M. leibii</i>. Electrophoretic data support the conclusion that the two taxa are specifically distinct (Herd 1987). Wilson and Ruff (1999) regarded <i>M. ciliolabrum</i> and <i>M. leibii </i>as separate species. Koopman (1993) did not recognize <i>M. ciliolabrum</i> as a species distinct from <i>M. leibii</i>, but Simmons (2005) did. Monotypic (Best and Jennings 1997).<br><br>In a phylogenetic study based on mtDNA data,  <i>M. leibii</i> was included within clades containing both <i>M. californicus</i> and <i>M. ciliolabrum</i> (Rodriguez and Ammerman 2004). Further data from <i>M. leibii</i> are necessary to validate its phylogenetic relationship <i>to M. ciliolabrum</i> and <i>M. californicus</i> (Rodriguez and Ammerman 2004). Comparisons among outgroups (<i>M. yumanensis</i>, <i>M. lucifugus</i>, and <i>M. evotis</i>) found sufficient support for specific status of <i>M. leibii</i>, but sequence divergence between <i>M. evotis</i> and the <i>leibii</i> group was small (2.9%) and within the intraspecific range. Further sampling of <i>M. evotis</i> is necessary to establish the level of divergence between <i>M. evotis</i>, as well as other long-eared <i>Myotis</i>, and the <i>leibii</i> group (Rodriguez and Ammerman 2004)."
14176,Myotis lucifugus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,lucifugus,,,,,"(Le Conte, 1831)",<em>Myotis lucifugus</em> does not include <em>occultus</em>. This species hybridizes with <em>M. yumanensis</em> in some areas; see Parkinson (1979). Apparently it is closely related to <em>M. thysanodes</em>.
14153,Myotis ciliolabrum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,ciliolabrum,,,,,"(Merriam, 1886)","Formerly included in <i>leibii</i>. Reviewed by Holloway and Barclay (2001), but note that they included <i>melanorhinus</i> as a subspecies of <i>ciliolabrum</i>."
14157,Myotis evotis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,evotis,,,,,"(H. Allen, 1864)",
14150,Myotis californicus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,californicus,,,,,"(Audubon &amp; Bachman, 1842)","Woodman (1993) notes that many mammalian generic names ending in -otis use the wrong gender for specific names. If this advice is to be followed, the species name should be <i>M. californica</i>. The Chiroptera SG advise keeping the names as they are for now while a decision is still to be made on these."
14206,Myotis thysanodes,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,thysanodes,,,,,"Miller, 1897",Apparently closely related to <i>lucifugus</i>.
14201,Myotis septentrionalis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,septentrionalis,,,,,"(Trouessart, 1897)","Formerly included in <i>keenii</i>, but see Caceres and Barclay (2000)."
14213,Myotis yumanensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,yumanensis,,,,,"(H. Allen, 1864)",<em>Myotis yumanensis</em> is apparently closely related to <em>velifer</em>.
14210,Myotis volans,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,volans,,,,,"(H. Allen, 1866)",Apparently <em>Myotis volans</em> is closely related to <em>lucifugus</em> and <em>thysanodes</em>.
7928,Eptesicus fuscus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Eptesicus,fuscus,,,,,"(Beauvois, 1796)",Subgenus <i>Eptesicus</i>. Caribbean forms reviewed by Timm and Genoways (2003).
88151055,Lasiurus blossevillii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Lasiurus,blossevillii,,,,,"(Lesson &amp; Garnot, 1826)","Recent studies consider <em>Lasiurus salinae</em> and <em>L. varius</em> as separate from <em>L. blossevillii</em>, but treat <em>L. brachyotis</em> as a subspecies of the latter (Gardner and Handley 2008)."
11345,Lasiurus cinereus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Lasiurus,cinereus,,,,,"(Palisot de Beauvois, 1796)",
11347,Lasiurus borealis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Lasiurus,borealis,,,,,"(Müller, 1776)","Subgenus <i>Lasiurus</i>, <i>borealis</i> species group (Simmons 2005)."
11339,Lasionycteris noctivagans,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Lasionycteris,noctivagans,,,,,"(La Conte, 1831)",
17366,Perimyotis subflavus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Perimyotis,subflavus,,,,,"F. Cuvier, 1832",Use of the genus <em>Perimyotis </em>instead of <em>Pipistrellus </em>follows the recommendations of Hoofer and Van Den Bussche (2003).
1790,Antrozous pallidus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Antrozous,pallidus,,,,,"(Le Conte, 1856)",Includes <i>bunkeri</i>.
15735,Ovis canadensis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Ovis,canadensis,,,,,"Shaw, 1804",The validity of the subspecies <em>Ovis canadensis californiana</em> has recently been questioned (Wehausen and Ramey 2000).
39250,Ovis dalli,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Ovis,dalli,,,,,"Nelson, 1884",
42680,Oreamnos americanus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Oreamnos,americanus,,,,,"(de Blainville, 1816)",
56003281,Alces alces,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Alces,alces,,,,,"(Linnaeus, 1758)","Grubb (in Wilson and Reeder 2005) recognized Eurasian Elk (<em>Alces alces</em>) and Moose (<em>Alces americanus</em>) as distinct species, citing sources that documented differences in karyotype, body dimensions and proportions, form of premaxilla, coloration, and structure and dimensions of antlers (Geist 1998, Boyeskorov 1999). There is still some debate surrounding whether Moose comprise one or two species. Groves and Grubb (1987) called them ""semi-species"". Boeskorov (1997) proposed that the chromosomal races of <em>Alces alces </em>were different species, however, Bowyer <em>et al.</em> (2000) cautioned that chromosome numbers might be a poor designator of species among large mammals. Based on cited sources that documented differences between Eurasian Elk and Moose, Geist (1998) recommended separation at the subspecies level (i.e., <em>Alces alces alces</em> Linneaus, 1758 and <em>Alces alces americanus</em> Clinton, 1822). Geist (1998) noted a broad zone of hybridization between the two forms in central and eastern Siberia but Boeskorov (2003) identifies the Yenisei River as the boundary between the ranges of the two putative species. There are no differences in antler morphology on either side of the river, however, suggesting substantial gene flow (Kolesnikov and Kozlovskii 2014). Moreover, genetic analyses have generally supported distinguishing the two at the subspecific level (Hundertmark <em>et al.</em> 2002 a,b; Udina <em>et al.</em> 2002; Hundertmark and Bowyer 2004); further research is needed before a consensus would support species-level classification.<br/><br/>Hundertmark <em>et al.</em> (2002b) report that analysis of mtDNA revealed three haplogroups, one entirely Asian, one primarily European and one primarily North American. Eight extant subspecies are recognised here:<br/><em>A. a. alces</em> - Scandinavia, Finland, Baltic states and Poland E to Yenisei River<br/><em>A. a. americana</em> - E Canada (C Ontario to Newfoundland)<br/><em>A. a. andersoni</em> - British Colombia to Minnesota and Ontario<br/><em>A. a. buturlini</em> - NE Siberia and Kamchatka<br/><em>A. a. cameloides</em> - N Mongolia, Ussuriland, N Manchuria<br/><em>A. a. gigas</em> - Alaska and Yukon<br/><em>A. a. pfizenmayeri</em> - C Siberia and Stanovoy and Cherskiy Mountains<br/><em>A. a. shirasi</em> - S Alberta to Wyoming and Utah"
42393,Odocoileus hemionus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Odocoileus,hemionus,,,,,"(Rafinesque, 1817)","A number of subspecies have been identified (Anderson and Wallmo 1984):
<br><i>O. h. californicus</i> (Caton, 1876) – California Mule Deer;
<br><i>O. h. cerrosensis</i> Merriam, 1898 – Cedros Island Deer;
<br><i>O. h. columbianus</i> (Richardson, 1829) – Columbian Black-tailed Deer;
<br><i>O. h. crooki</i> (Mearns, 1897) (<i>eremicus</i> Mearns and <i>canus</i> Merriam are synonyms), Heffelfinger (2000) considered <i>O. h. eremicus</i> as the correct name for Desert Mule Deer, because the specimen type of this subspecies is a hybrid of Mule Deer and White-tailed Deer;
<br><i>O. h. fuliginatus</i> Cowan, 1933 – Southern Mule Deer;
<br><i>O. h. hemionus</i> (Rafinesque, 1817) – Rocky Mountain Mule Deer;
<br><i>O. h. inyoensis</i> Cowan, 1933 (the validity is questionable) – Inyo Mule Deer;
<br><i>O. h. peninsulae</i> (Lydekker, 1898) – Peninsula Mule Deer;
<br><i>O. h. sheldoni</i> Goldman, 1939 – Tiburon Island Mule Deer;
<br><i>O. h. sitkensis</i> Merriam, 1898 – Sitka Black-tailed Deer."
42394,Odocoileus virginianus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Odocoileus,virginianus,,,,,"(Zimmermann, 1780)","A number of subspecies have been identified (Smith 1991): <br/><em>O. v. acapulcensis</em> (Caton, 1877). Type locality  Acapulco, Guerrero, México; <br/><em>O. v. borealis</em> (Miller, 1990).Type locality “Booksport”, Maine, USA; <br/><em>O. v. cariacou</em> (Boddaert, 1784). Type locality Guyane, coastal French Guiana; <br/><em>O. v. carminis</em> Goldman & Kellogg, 1940. Type locality “Botellas Cañón, Sierra del Carmen, northern Coahuila, Mexico; <br/><em>O. v. chiriquensis</em> (J.A. Allen, 1910). Type locality “Boquerón, Chiriqui”, Panamá; <br/><em>O. v. clavium</em> Barboyr & Allen, 1922. Type locality “Big Pine Key”, Florida, USA; <br/><em>O. v. couesi</em> (Coues & Yarrow, 1875). Type locality “Rancho Santuario”, northwestern Durango, México; <br/><em>O. v. curassavicus</em> (Hummelinck, 1940). Type locality Island of Curacao; <br/><em>O. v. dacotensis</em> Goldman & Kellogg, 1940. Type locality ”White Earth River”, Mountrail Country, North Dakota, USA; <br/><em>O. v. goudotti</em> (Gay & Gervais, 1846). Type locality “vits dans les regions elevees de la Nouvelle-Grenade”; <br/><em>O. v. gymnotis</em> (Wiegmann, 1833). Type locality “British Guiana”; <br/><em>O. v. hiltonensis</em> Goldman & Kellogg, 1940. Type locality “Hilton Head Island, Beaufort County, South Carolina, USA; <br/><em>O. v. leucuru</em>s (Douglas, 1829). Type locality “the districts adjoining the river Columbia, USA; <br/><em>O. v. macrourus</em> (Rafinesque, 1817). Type locality “Mer Rouge, Morehouse county, Louisiana, USA; <br/><em>O. v. mcilhennyi</em> F.W. Miller, 1928. Type locality “near Avery Island, Iberia Parish, Louisiana, USA; <br/><em>O. v. margaritae</em> (Osgood, 1910). Type locality “vicinity of Puerto Viejo”, Margarita Island, Venezuela; <br/><em>O. v. mexicanus</em> (Gmelin, 1788). Type locality “Valley of México”, México; <br/><em>O. v. miquihuanensis</em> Goldman & Kellogg, 1940. Type locality ”Sierra Madre Oriental, near Miquihuana, southwestern Tamaulipas, México”; <br/><em>O. v. nelsoni</em> Merriam, 1898. Type locality “San Cristobal, highlands of Chiapas, México”; <br/><em>O. v. nigribarbis</em> Goldman and Kellogg, 1940. Type locality “Blackbeard Island, McIntoch County, Georgia, USA; <br/><em>O. v. oaxacensis</em> Goldman & Kellogg, 1940. Type locality “mountains 15 miles west of Oaxaca, México”; <br/><em>O. v. ochrourus</em> Bailey, 1932. Type locality “Coolin, south end of Priest Lake, Idaho, USA; <br/><em>O. v. osceola</em> (Bangs, 1896). Type locality “Citronelle, Citrus county, Florida, USA; <br/><em>O. v. peruvianus</em> (Gray, 1874). Type locality “Ceuchupate”, Perú; <br/><em>O. v. rothschildi</em> (Thomas, 1902). Type locality “Island of Coiba”, Veraguas, Panamá; <br/><em>O. v. seminolus</em> Goldman & Kellog, 1940. Type locality ""ten miles northeast of Everglades, Collier county, Florida, USA; <br/><em>O. v. sinaloae</em> J.A. Allen, 1903. Type locality “Escuinapa”, southern Sinaloa, México; <br/><em>O. v. taurinsulae</em> Goldman & Kellogg, 1940. Type locality “Bull’s Island, Charleston County, South Carolina, USA; <br/><em>O. v. texanus</em> (Mearns, 1898). Type locality “Fort Clark”, Kinney County, Texas, USA; <br/><em>O. v. thomasi</em> Merriam, 1898. Type locality “Huehuetan”, Chiapas, México; <br/><em>O. v. toltecus</em> (Saussure, 1860). Type locality “Orizaba”, Veracruz, México; <br/><em>O. v. tropicalis</em> (Cabrera, 1918). Type locality “La María, en el Valle del Dagua”, Colombia; <br/><em>O. v. nemoralis</em> (Hamilton-Smith, 1827). Type locality restricted to “Central America, round the Gulf of Mexico to Surinam”, further restricted to “From Honduras to Panamá"" (Lydekker, 1915); <br/><em>O. v. ustus</em> (Trouessart, 1910). Type locality ”El Pelado”, au nord de Quito (4,100 m), sur la frontiere de Colombie; <br/><em>O. v. venatorius</em> Goldman & Kellogg, 1940. Type locality ""Hunting Island, Beufort County, south Carolina, USA; <br/><em>O. v. veraecrucis</em> Goldman & Kellogg, 1940. Type locality “Chijol, northern Veracruz, México”; <br/><em>O. v. virginiana</em> (Zimmermann, 1780). Type locality “Wisconsin”, USA; <br/><em>O. v. yucatanensis</em> (Hays, 1872). Type locality “throughout Yucatán and the southern part of México”."
29742,Rangifer tarandus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Rangifer,tarandus,,,,,"(Linnaeus, 1758)","The world’s Caribou and Reindeer are classified as a single species <em>Rangifer</em> <em>tarandus</em>. Reindeer is the European name for the species while in North America, the species is known as Caribou. Here we use either name or <em>Rangifer</em>. <br/><br/>Identification of subspecies has changed over time (Banfield 1961, Geist 2007) and currently, Grubb (2005) lists 14 sub-species of which two are extinct: <em>eogroenlandicus </em>and <em>dawsoni</em>, however, the latter may have been an island dwarf form (Byun <em>et al.</em> 2002). In Russia, the use of subspecies differs from Grubb (2005) as <em>angustirostris </em>is recognized but not <em>buskensis </em>(I. Mizin pers. comm.). The subspecies are distinguished largely on skeletal and skull measurements, antler architecture and behaviour. The major groupings of subspecies are Boreal forest, continental tundra and high Arctic island. Based on current abundance, continental tundra caribou are the most numerous (56%) relative to mountain (19%), the forest (14%) and Arctic island (11%). <br/><br/>The current diversity of <em>Rangifer </em>resulted from local adaptations, which followed large-scale changes in distribution as continental glaciations advanced and retreated during the Pleistocene (Yannic <em>et al.</em> 2013). Analyses of mitochondrial and nucleotide DNA reveal that glaciations divided <em>Rangifer </em>into two lineages. The ice sheets were more extensive in North Ameri<em>ca.</em> Thus, the Euro-Beringia lineage was restricted to Alaska while the North American lineage was restricted to south of the ice sheets. The Euro-Beringia lineage is genetically the most varied and is widely distributed from Eurasia to northwestern America also including Greenland, Svalbard and the Canadian Arctic island archipelagos (Yannic <em>et al.</em> 2013). The second lineage, the North American lineage (essentially woodland caribou), has less genetic variation and a more restricted distribution limited to Newfoundland/Labrador and eastern Canada. After deglaciation about 10,000 years ago, changing distribution during recolonization, secondary contact between the two lineages occurred in central and western Canada (Weckworth <em>et al.</em> 2012, Yannic <em>et al.</em> 2013).<br/><br/>Genetic variability is typically high among the larger migratory herds of migratory tundra Caribou (Zittlau 2004) because the effective population size is large and geographic barriers are largely lacking. Elsewhere in the mountains, genetic variation reveals a complex history influenced by events including ancient volcanic eruptions, founder events, geography and changing abundance and distribution of neighbouring herds (Kuhn <em>et al.</em> 2010, Serrouya <em>et al.</em> 2012). On the arctic islands, genetic variation is reduced because those populations have been through severe reductions in abundance with consequent genetic bottlenecks and genetic drift (Zittlau 2004, Petersen <em>et al.</em> 2010).<br/><br/>Dispersal whether innate or environmental is largely unrecorded in <em>Rangifer </em>except at the scale of genetic migration. DNA analyses have revealed low rates of male-biased genetic flow between neighbouring and geographically dispersed <em>Rangifer </em>(Boulet <em>et al.</em> 2005, Roffler <em>et al.</em> 2012). <br/><br/>The subspecies designations are based on an outdated taxonomy and are inconsistent with current understanding of evolutionary relationships and ecology (Flagstad and Røed 2003, Zittlau 2005, Røed 2005). However, in the context of conservation and management, recognizable and credible ‘conservation units’ or ‘evolutionary significant units’ are essential. In Canada, for example, COSEWIC (2012) assessed all available information to create 12 designatable units to recognize variability in form, ecology and genetics previously combined in four sub-species. We will refer to recognizable conservation units throughout this assessment as these are the basis for estimating abundance. Then we have summed the subspecies or conservation units to assess <em>Rangifer</em> at the species level."
40502,Didelphis virginiana,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Didelphis,virginiana,,,,,"Kerr, 1792",
4003,Castor canadensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CASTORIDAE,Castor,canadensis,,,,,"Kuhl, 1820",
