from,to,score
Canis rufus,Microtus miurus,1.0
Canis rufus,Microtus montanus,1.0
Canis rufus,Microtus ochrogaster,1.0
Canis rufus,Microtus oeconomus,1.0
Canis rufus,Microtus oregoni,1.0
Canis rufus,Microtus pinetorum,1.0
Canis rufus,Microtus richardsoni,1.0
Canis rufus,Microtus townsendii,1.0
Canis rufus,Microtus xanthognathus,1.0
Canis rufus,Mus musculus,1.0
Canis rufus,Mustela erminea,1.0
Canis rufus,Mustela frenata,1.0
Canis rufus,Mustela nigripes,1.0
Canis rufus,Mustela nivalis,1.0
Canis rufus,Mustela subpalmata,1.0
Canis rufus,Myodes gapperi,1.0
Canis rufus,Myodes rutilus,1.0
Canis rufus,Napaeozapus insignis,1.0
Canis rufus,Neovison macrodon,1.0
Canis rufus,Neovison vison,1.0
Canis rufus,Ochotona collaris,1.0
Canis rufus,Ochotona princeps,1.0
Canis rufus,Ondatra zibethicus,1.0
Canis rufus,Phenacomys intermedius,1.0
Canis rufus,Phenacomys ungava,1.0
Canis rufus,Poliocitellus franklinii,1.0
Canis rufus,Scalopus aquaticus,1.0
Canis rufus,Sciurus niger,1.0
Canis rufus,Sorex arcticus,1.0
Canis rufus,Sorex haydeni,1.0
Canis rufus,Sorex hoyi,1.0
Canis rufus,Sorex maritimensis,1.0
Canis rufus,Sorex merriami,1.0
Canis rufus,Sorex trowbridgii,1.0
Canis rufus,Sorex tundrensis,1.0
Canis rufus,Synaptomys borealis,1.0
Canis rufus,Synaptomys cooperi,1.0
Canis rufus,Tamias amoenus,1.0
Canis rufus,Tamias townsendii,1.0
Canis rufus,Tamiasciurus douglasii,1.0
Canis rufus,Tamiasciurus hudsonicus,1.0
Canis rufus,Taxidea taxus,1.0
Canis rufus,Urocitellus columbianus,1.0
Canis rufus,Urocitellus parryii,1.0
Canis rufus,Urocitellus richardsonii,1.0
Canis rufus,Urocyon cinereoargenteus,1.0
Canis rufus,Vulpes lagopus,1.0
Canis rufus,Vulpes velox,1.0
Canis rufus,Zapus hudsonius,1.0
Canis rufus,Zapus princeps,1.0
Canis rufus,Zapus trinotatus,1.0
Enhydra lutris,Lemmiscus curtatus,1.0
Enhydra lutris,Lemmus trimucronatus,1.0
Enhydra lutris,Microtus chrotorrhinus,1.0
Enhydra lutris,Microtus longicaudus,1.0
Enhydra lutris,Microtus miurus,1.0
Enhydra lutris,Microtus ochrogaster,1.0
Enhydra lutris,Microtus oeconomus,1.0
Enhydra lutris,Microtus pinetorum,1.0
Enhydra lutris,Microtus richardsoni,1.0
Enhydra lutris,Microtus townsendii,1.0
Enhydra lutris,Microtus xanthognathus,1.0
Enhydra lutris,Mus musculus,1.0
Enhydra lutris,Myodes gapperi,1.0
Enhydra lutris,Myodes rutilus,1.0
Enhydra lutris,Ondatra zibethicus,1.0
Enhydra lutris,Phenacomys intermedius,1.0
Enhydra lutris,Phenacomys ungava,1.0
Enhydra lutris,Sorex arcticus,1.0
Enhydra lutris,Sorex hoyi,1.0
Enhydra lutris,Sorex maritimensis,1.0
Enhydra lutris,Synaptomys borealis,1.0
Enhydra lutris,Synaptomys cooperi,1.0
Gulo gulo,Alces alces,1.0
Gulo gulo,Cervus elaphus,1.0
Gulo gulo,Dicrostonyx groenlandicus,1.0
Gulo gulo,Dicrostonyx hudsonius,1.0
Gulo gulo,Dicrostonyx nunatakensis,1.0
Gulo gulo,Dicrostonyx richardsoni,1.0
Gulo gulo,Lemmiscus curtatus,1.0
Gulo gulo,Lemmus trimucronatus,1.0
Gulo gulo,Microtus chrotorrhinus,1.0
Gulo gulo,Microtus longicaudus,1.0
Gulo gulo,Microtus miurus,1.0
Gulo gulo,Microtus montanus,1.0
Gulo gulo,Microtus ochrogaster,1.0
Gulo gulo,Microtus oeconomus,1.0
Gulo gulo,Microtus oregoni,1.0
Gulo gulo,Microtus pennsylvanicus,1.0
Gulo gulo,Microtus pinetorum,1.0
Gulo gulo,Microtus richardsoni,1.0
Gulo gulo,Microtus townsendii,1.0
Gulo gulo,Microtus xanthognathus,1.0
Gulo gulo,Mustela nivalis,1.0
Gulo gulo,Myodes gapperi,1.0
Gulo gulo,Myodes rutilus,1.0
Gulo gulo,Ondatra zibethicus,1.0
Gulo gulo,Oreamnos americanus,1.0
Gulo gulo,Phenacomys intermedius,1.0
Gulo gulo,Phenacomys ungava,1.0
Gulo gulo,Rangifer tarandus,1.0
Gulo gulo,Sorex arcticus,1.0
Gulo gulo,Sorex haydeni,1.0
Gulo gulo,Sorex hoyi,1.0
Gulo gulo,Sorex maritimensis,1.0
Gulo gulo,Sorex merriami,1.0
Gulo gulo,Sorex trowbridgii,1.0
Gulo gulo,Sorex tundrensis,1.0
Gulo gulo,Synaptomys borealis,1.0
Gulo gulo,Synaptomys cooperi,1.0
Gulo gulo,Vulpes vulpes,1.0
Lontra canadensis,Dicrostonyx hudsonius,1.0
Lontra canadensis,Lemmiscus curtatus,1.0
Lontra canadensis,Lemmus trimucronatus,1.0
Lontra canadensis,Microtus chrotorrhinus,1.0
Lontra canadensis,Microtus longicaudus,1.0
Lontra canadensis,Microtus miurus,1.0
Lontra canadensis,Microtus ochrogaster,1.0
Lontra canadensis,Microtus oeconomus,1.0
Lontra canadensis,Microtus pinetorum,1.0
Lontra canadensis,Microtus richardsoni,1.0
Lontra canadensis,Microtus townsendii,1.0
Lontra canadensis,Microtus xanthognathus,1.0
Lontra canadensis,Mus musculus,1.0
Lontra canadensis,Myodes gapperi,1.0
Lontra canadensis,Myodes rutilus,1.0
Lontra canadensis,Ondatra zibethicus,1.0
Lontra canadensis,Phenacomys intermedius,1.0
Lontra canadensis,Phenacomys ungava,1.0
Lontra canadensis,Sorex arcticus,1.0
Lontra canadensis,Sorex haydeni,1.0
Lontra canadensis,Sorex hoyi,1.0
Lontra canadensis,Sorex maritimensis,1.0
Lontra canadensis,Sorex merriami,1.0
Lontra canadensis,Sorex trowbridgii,1.0
Lontra canadensis,Sorex tundrensis,1.0
Lontra canadensis,Synaptomys borealis,1.0
Lontra canadensis,Synaptomys cooperi,1.0
Lynx canadensis,Canis latrans,1.0
Lynx canadensis,Microtus montanus,1.0
Lynx canadensis,Microtus oregoni,1.0
Lynx canadensis,Microtus townsendii,1.0
Lynx canadensis,Sciurus carolinensis,1.0
Lynx rufus,Microtus miurus,1.0
Lynx rufus,Microtus montanus,1.0
Lynx rufus,Microtus oeconomus,1.0
Lynx rufus,Microtus oregoni,1.0
Lynx rufus,Microtus townsendii,1.0
Lynx rufus,Sciurus carolinensis,1.0
Lynx rufus,Sciurus niger,1.0
Lynx rufus,Sorex merriami,1.0
Lynx rufus,Sorex trowbridgii,1.0
Lynx rufus,Zapus princeps,1.0
Lynx rufus,Zapus trinotatus,1.0
Martes americana,Dicrostonyx groenlandicus,1.0
Martes americana,Dicrostonyx hudsonius,1.0
Martes americana,Dicrostonyx nunatakensis,1.0
Martes americana,Dicrostonyx richardsoni,1.0
Martes americana,Lemmiscus curtatus,1.0
Martes americana,Lemmus trimucronatus,1.0
Martes americana,Lynx rufus,1.0
Martes americana,Microtus chrotorrhinus,1.0
Martes americana,Microtus longicaudus,1.0
Martes americana,Microtus miurus,1.0
Martes americana,Microtus montanus,1.0
Martes americana,Microtus ochrogaster,1.0
Martes americana,Microtus oeconomus,1.0
Martes americana,Microtus oregoni,1.0
Martes americana,Microtus pennsylvanicus,1.0
Martes americana,Microtus pinetorum,1.0
Martes americana,Microtus richardsoni,1.0
Martes americana,Microtus townsendii,1.0
Martes americana,Microtus xanthognathus,1.0
Martes americana,Mus musculus,1.0
Martes americana,Myodes gapperi,1.0
Martes americana,Myodes rutilus,1.0
Martes americana,Ondatra zibethicus,1.0
Martes americana,Phenacomys intermedius,1.0
Martes americana,Phenacomys ungava,1.0
Martes americana,Sorex arcticus,1.0
Martes americana,Sorex haydeni,1.0
Martes americana,Sorex hoyi,1.0
Martes americana,Sorex maritimensis,1.0
Martes americana,Sorex merriami,1.0
Martes americana,Sorex trowbridgii,1.0
Martes americana,Sorex tundrensis,1.0
Martes americana,Synaptomys borealis,1.0
Martes americana,Synaptomys cooperi,1.0
Martes pennanti,Canis latrans,1.0
Martes pennanti,Dicrostonyx groenlandicus,1.0
Martes pennanti,Dicrostonyx hudsonius,1.0
Martes pennanti,Dicrostonyx nunatakensis,1.0
Martes pennanti,Dicrostonyx richardsoni,1.0
Martes pennanti,Lasionycteris noctivagans,1.0
Martes pennanti,Lemmiscus curtatus,1.0
Martes pennanti,Lemmus trimucronatus,1.0
Martes pennanti,Microtus chrotorrhinus,1.0
Martes pennanti,Microtus longicaudus,1.0
Martes pennanti,Microtus miurus,1.0
Martes pennanti,Microtus montanus,1.0
Martes pennanti,Microtus ochrogaster,1.0
Martes pennanti,Microtus oeconomus,1.0
Martes pennanti,Microtus oregoni,1.0
Martes pennanti,Microtus pennsylvanicus,1.0
Martes pennanti,Microtus pinetorum,1.0
Martes pennanti,Microtus richardsoni,1.0
Martes pennanti,Microtus townsendii,1.0
Martes pennanti,Microtus xanthognathus,1.0
Martes pennanti,Mus musculus,1.0
Martes pennanti,Myodes gapperi,1.0
Martes pennanti,Myodes rutilus,1.0
Martes pennanti,Odocoileus virginianus,1.0
Martes pennanti,Ondatra zibethicus,1.0
Martes pennanti,Phenacomys intermedius,1.0
Martes pennanti,Phenacomys ungava,1.0
Martes pennanti,Sciurus carolinensis,1.0
Martes pennanti,Sorex arcticus,1.0
Martes pennanti,Sorex haydeni,1.0
Martes pennanti,Sorex hoyi,1.0
Martes pennanti,Sorex maritimensis,1.0
Martes pennanti,Sorex merriami,1.0
Martes pennanti,Sorex trowbridgii,1.0
Martes pennanti,Sorex tundrensis,1.0
Martes pennanti,Synaptomys borealis,1.0
Martes pennanti,Synaptomys cooperi,1.0
Martes pennanti,Vulpes vulpes,1.0
Martes pennanti,Zapus hudsonius,1.0
Mustela erminea,Lepus europaeus,1.0
Mustela erminea,Microtus oeconomus,1.0
Mustela erminea,Mus musculus,1.0
Mustela erminea,Mustela erminea,1.0
Mustela erminea,Mustela nivalis,1.0
Mustela erminea,Myodes rutilus,1.0
Mustela erminea,Ochotona princeps,1.0
Mustela erminea,Sciurus carolinensis,1.0
Mustela erminea,Sorex tundrensis,1.0
Mustela erminea,Tamias striatus,1.0
Mustela frenata,Castor canadensis,1.0
Mustela frenata,Dicrostonyx groenlandicus,1.0
Mustela frenata,Dicrostonyx hudsonius,1.0
Mustela frenata,Dicrostonyx nunatakensis,1.0
Mustela frenata,Dicrostonyx richardsoni,1.0
Mustela frenata,Lemmiscus curtatus,1.0
Mustela frenata,Lemmus trimucronatus,1.0
Mustela frenata,Lepus americanus,1.0
Mustela frenata,Lepus arcticus,1.0
Mustela frenata,Lepus townsendii,1.0
Mustela frenata,Microtus chrotorrhinus,1.0
Mustela frenata,Microtus longicaudus,1.0
Mustela frenata,Microtus miurus,1.0
Mustela frenata,Microtus montanus,1.0
Mustela frenata,Microtus ochrogaster,1.0
Mustela frenata,Microtus oeconomus,1.0
Mustela frenata,Microtus oregoni,1.0
Mustela frenata,Microtus pennsylvanicus,1.0
Mustela frenata,Microtus pinetorum,1.0
Mustela frenata,Microtus richardsoni,1.0
Mustela frenata,Microtus townsendii,1.0
Mustela frenata,Microtus xanthognathus,1.0
Mustela frenata,Mus musculus,1.0
Mustela frenata,Myodes gapperi,1.0
Mustela frenata,Myodes rutilus,1.0
Mustela frenata,Ondatra zibethicus,1.0
Mustela frenata,Phenacomys intermedius,1.0
Mustela frenata,Phenacomys ungava,1.0
Mustela frenata,Sorex arcticus,1.0
Mustela frenata,Sorex haydeni,1.0
Mustela frenata,Sorex hoyi,1.0
Mustela frenata,Sorex maritimensis,1.0
Mustela frenata,Sorex merriami,1.0
Mustela frenata,Sorex trowbridgii,1.0
Mustela frenata,Sorex tundrensis,1.0
Mustela frenata,Synaptomys borealis,1.0
Mustela frenata,Synaptomys cooperi,1.0
Mustela nigripes,Lemmus trimucronatus,1.0
Mustela nigripes,Microtus chrotorrhinus,1.0
Mustela nigripes,Microtus longicaudus,1.0
Mustela nigripes,Microtus miurus,1.0
Mustela nigripes,Microtus montanus,1.0
Mustela nigripes,Microtus ochrogaster,1.0
Mustela nigripes,Microtus pinetorum,1.0
Mustela nigripes,Microtus richardsoni,1.0
Mustela nigripes,Microtus townsendii,1.0
Mustela nigripes,Microtus xanthognathus,1.0
Mustela nigripes,Myodes gapperi,1.0
Mustela nigripes,Myodes rutilus,1.0
Mustela nigripes,Ondatra zibethicus,1.0
Mustela nigripes,Phenacomys intermedius,1.0
Mustela nigripes,Phenacomys ungava,1.0
Mustela nigripes,Synaptomys borealis,1.0
Mustela nigripes,Synaptomys cooperi,1.0
Mustela nigripes,Tamias amoenus,1.0
Mustela nivalis,Microtus oeconomus,1.0
Mustela nivalis,Microtus xanthognathus,1.0
Mustela nivalis,Mus musculus,1.0
Mustela nivalis,Myodes rutilus,1.0
Mustela nivalis,Sciurus carolinensis,1.0
Mustela nivalis,Sorex tundrensis,1.0
Mustela subpalmata,Castor canadensis,1.0
Mustela subpalmata,Dicrostonyx hudsonius,1.0
Mustela subpalmata,Lemmiscus curtatus,1.0
Mustela subpalmata,Lemmus trimucronatus,1.0
Mustela subpalmata,Microtus chrotorrhinus,1.0
Mustela subpalmata,Microtus longicaudus,1.0
Mustela subpalmata,Microtus miurus,1.0
Mustela subpalmata,Microtus montanus,1.0
Mustela subpalmata,Microtus ochrogaster,1.0
Mustela subpalmata,Microtus oeconomus,1.0
Mustela subpalmata,Microtus oregoni,1.0
Mustela subpalmata,Microtus pennsylvanicus,1.0
Mustela subpalmata,Microtus pinetorum,1.0
Mustela subpalmata,Microtus richardsoni,1.0
Mustela subpalmata,Microtus townsendii,1.0
Mustela subpalmata,Microtus xanthognathus,1.0
Mustela subpalmata,Mus musculus,1.0
Mustela subpalmata,Myodes gapperi,1.0
Mustela subpalmata,Myodes rutilus,1.0
Mustela subpalmata,Ondatra zibethicus,1.0
Mustela subpalmata,Phenacomys intermedius,1.0
Mustela subpalmata,Phenacomys ungava,1.0
Mustela subpalmata,Sorex arcticus,1.0
Mustela subpalmata,Sorex maritimensis,1.0
Mustela subpalmata,Sorex merriami,1.0
Mustela subpalmata,Synaptomys borealis,1.0
Mustela subpalmata,Synaptomys cooperi,1.0
Mustela subpalmata,Tamias amoenus,1.0
Mustela subpalmata,Tamias townsendii,1.0
Neovison macrodon,Dicrostonyx groenlandicus,1.0
Neovison macrodon,Dicrostonyx hudsonius,1.0
Neovison macrodon,Dicrostonyx nunatakensis,1.0
Neovison macrodon,Dicrostonyx richardsoni,1.0
Neovison macrodon,Lemmiscus curtatus,1.0
Neovison macrodon,Lemmus trimucronatus,1.0
Neovison macrodon,Lepus americanus,1.0
Neovison macrodon,Microtus chrotorrhinus,1.0
Neovison macrodon,Microtus longicaudus,1.0
Neovison macrodon,Microtus miurus,1.0
Neovison macrodon,Microtus montanus,1.0
Neovison macrodon,Microtus ochrogaster,1.0
Neovison macrodon,Microtus oeconomus,1.0
Neovison macrodon,Microtus oregoni,1.0
Neovison macrodon,Microtus pennsylvanicus,1.0
Neovison macrodon,Microtus pinetorum,1.0
Neovison macrodon,Microtus richardsoni,1.0
Neovison macrodon,Microtus townsendii,1.0
Neovison macrodon,Microtus xanthognathus,1.0
Neovison macrodon,Mus musculus,1.0
Neovison macrodon,Myodes gapperi,1.0
Neovison macrodon,Myodes rutilus,1.0
Neovison macrodon,Ondatra zibethicus,1.0
Neovison macrodon,Phenacomys intermedius,1.0
Neovison macrodon,Phenacomys ungava,1.0
Neovison macrodon,Sorex arcticus,1.0
Neovison macrodon,Sorex haydeni,1.0
Neovison macrodon,Sorex hoyi,1.0
Neovison macrodon,Sorex maritimensis,1.0
Neovison macrodon,Sorex merriami,1.0
Neovison macrodon,Sorex trowbridgii,1.0
Neovison macrodon,Sorex tundrensis,1.0
Neovison macrodon,Synaptomys borealis,1.0
Neovison macrodon,Synaptomys cooperi,1.0
Neovison vison,Dicrostonyx groenlandicus,1.0
Neovison vison,Dicrostonyx hudsonius,1.0
Neovison vison,Dicrostonyx nunatakensis,1.0
Neovison vison,Dicrostonyx richardsoni,1.0
Neovison vison,Lemmiscus curtatus,1.0
Neovison vison,Lemmus trimucronatus,1.0
Neovison vison,Lepus americanus,1.0
Neovison vison,Microtus chrotorrhinus,1.0
Neovison vison,Microtus longicaudus,1.0
Neovison vison,Microtus miurus,1.0
Neovison vison,Microtus montanus,1.0
Neovison vison,Microtus ochrogaster,1.0
Neovison vison,Microtus oeconomus,1.0
Neovison vison,Microtus oregoni,1.0
Neovison vison,Microtus pennsylvanicus,1.0
Neovison vison,Microtus pinetorum,1.0
Neovison vison,Microtus richardsoni,1.0
Neovison vison,Microtus townsendii,1.0
Neovison vison,Microtus xanthognathus,1.0
Neovison vison,Mus musculus,1.0
Neovison vison,Myodes gapperi,1.0
Neovison vison,Myodes rutilus,1.0
Neovison vison,Ondatra zibethicus,1.0
Neovison vison,Phenacomys intermedius,1.0
Neovison vison,Phenacomys ungava,1.0
Neovison vison,Sciurus carolinensis,1.0
Neovison vison,Sorex arcticus,1.0
Neovison vison,Sorex haydeni,1.0
Neovison vison,Sorex hoyi,1.0
Neovison vison,Sorex maritimensis,1.0
Neovison vison,Sorex merriami,1.0
Neovison vison,Sorex trowbridgii,1.0
Neovison vison,Sorex tundrensis,1.0
Neovison vison,Synaptomys borealis,1.0
Neovison vison,Synaptomys cooperi,1.0
Puma concolor,Canis latrans,1.0
Puma concolor,Lynx rufus,1.0
Puma concolor,Microtus montanus,1.0
Puma concolor,Microtus oregoni,1.0
Puma concolor,Microtus townsendii,1.0
Taxidea taxus,Lemmiscus curtatus,1.0
Taxidea taxus,Lemmus trimucronatus,1.0
Taxidea taxus,Microtus chrotorrhinus,1.0
Taxidea taxus,Microtus longicaudus,1.0
Taxidea taxus,Microtus miurus,1.0
Taxidea taxus,Microtus oeconomus,1.0
Taxidea taxus,Microtus pinetorum,1.0
Taxidea taxus,Microtus richardsoni,1.0
Taxidea taxus,Microtus townsendii,1.0
Taxidea taxus,Sorex arcticus,1.0
Taxidea taxus,Sorex bendirii,1.0
Taxidea taxus,Sorex haydeni,1.0
Taxidea taxus,Sorex hoyi,1.0
Taxidea taxus,Sorex maritimensis,1.0
Taxidea taxus,Sorex merriami,1.0
Taxidea taxus,Sorex trowbridgii,1.0
Taxidea taxus,Sorex tundrensis,1.0
Taxidea taxus,Sorex ugyunak,1.0
Taxidea taxus,Synaptomys borealis,1.0
Taxidea taxus,Synaptomys cooperi,1.0
Taxidea taxus,Zapus hudsonius,1.0
Urocyon cinereoargenteus,Castor canadensis,1.0
Urocyon cinereoargenteus,Cynomys ludovicianus,1.0
Urocyon cinereoargenteus,Dicrostonyx groenlandicus,1.0
Urocyon cinereoargenteus,Dicrostonyx hudsonius,1.0
Urocyon cinereoargenteus,Dicrostonyx nunatakensis,1.0
Urocyon cinereoargenteus,Dicrostonyx richardsoni,1.0
Urocyon cinereoargenteus,Lemmiscus curtatus,1.0
Urocyon cinereoargenteus,Lemmus trimucronatus,1.0
Urocyon cinereoargenteus,Lepus americanus,1.0
Urocyon cinereoargenteus,Lepus arcticus,1.0
Urocyon cinereoargenteus,Lepus townsendii,1.0
Urocyon cinereoargenteus,Marmota flaviventris,1.0
Urocyon cinereoargenteus,Marmota vancouverensis,1.0
Urocyon cinereoargenteus,Microtus chrotorrhinus,1.0
Urocyon cinereoargenteus,Microtus longicaudus,1.0
Urocyon cinereoargenteus,Microtus miurus,1.0
Urocyon cinereoargenteus,Microtus montanus,1.0
Urocyon cinereoargenteus,Microtus ochrogaster,1.0
Urocyon cinereoargenteus,Microtus oregoni,1.0
Urocyon cinereoargenteus,Microtus pennsylvanicus,1.0
Urocyon cinereoargenteus,Microtus pinetorum,1.0
Urocyon cinereoargenteus,Microtus richardsoni,1.0
Urocyon cinereoargenteus,Microtus townsendii,1.0
Urocyon cinereoargenteus,Microtus xanthognathus,1.0
Urocyon cinereoargenteus,Myodes gapperi,1.0
Urocyon cinereoargenteus,Myodes rutilus,1.0
Urocyon cinereoargenteus,Napaeozapus insignis,1.0
Urocyon cinereoargenteus,Ochotona collaris,1.0
Urocyon cinereoargenteus,Ochotona princeps,1.0
Urocyon cinereoargenteus,Phenacomys intermedius,1.0
Urocyon cinereoargenteus,Phenacomys ungava,1.0
